Id,BaseAmount,Description,ExtendedAmount,IsPriceOverridden,IsProductOverridden,LineItemNumber,ManualDiscountAmount,OwnerId,PriceListId,ProductId,Quantity,QuoteId,RequestedDeliveryDate,RequestedShipDate,ShippingCity,ShippingContactName,ShippingCountry,ShippingFax,ShippingFreightTermsCode,ShippingLine1,ShippingLine2,ShippingLine3,ShippingName,ShippingPostalCode,ShippingStateOrProvince,ShippingTelephone,StatusCode,SubLineItemNumber,Tax,TypeCode,UnitPrice,UomCode,VolumeDiscountAmount,WillCall,CreatedByUser,CreatedDateTime,ModifiedByUser,ModifiedDateTime,UnitCost,GroupCode,AllocatedAmount,FreightAmount,PriceModifier,PriceMultiplier,RebateAmount,IsExcludedFromQuoteAmount,PlantCode,ProductGroup1Code,ProductGroup2Code,ProductGroup3Code,ProductGroup4Code,ProductGroup5Code,ShippingAccountId,ListPrice,ApprovalStatusCode,AverageSellPrice,GrossMargin,IsPriceIncomplete,MaterialPriceGroupCode,MaximumSellPrice,MinimumSellPrice,PriceGroupCode,ProductHierarchy1Code,ProductHierarchy2Code,ProductHierarchy3Code,ProductHierarchy4Code,ProductHierarchy5Code,ProductHierarchy6Code,ProductHierarchy7Code,StandardCost,StandardGrossMargin,IsManualDiscountActive,IsPriceExternal,ManualDiscountPercentage,QuantityPerUnit,TaxPercentage,UnitWeight,CustomerBaseAmount,CustomerUnitPrice,DealerProfitAmount,DealerMargin,MfgMargin,MfgPrice
ADF454DB-F82F-4502-ADE9-06454552F2BF,37.99,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",37.99,NULL,NULL,1,NULL,NULL,E239ED5B-1CD1-4324-8118-829F7D68FF13,04DB77F9-EA43-4398-9409-EB4ADD77D96E,1,5AD370F9-7A64-481A-A2B7-06C4C1862735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,37.99,1,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,26:04.7,NULL,NULL,20.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.99,NULL,NULL,45.01,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.89,45.01,1,NULL,NULL,NULL,NULL,NULL,37.99,37.99,NULL,0,45.01,NULL
BDDB5B1A-211D-4192-A086-06D388767EDE,239808.84,Sabre-X,215827.96,NULL,NULL,1,NULL,NULL,NULL,5B3CA472-C568-414C-B529-42EC92C60C79,6,19BCE176-821B-49A3-A86F-0A7C1D10BEAA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,39968.14,1,NULL,NULL,131cc3a1-22e7-476d-b02a-5b2456c5e35a,23:20.8,131cc3a1-22e7-476d-b02a-5b2456c5e35a,24:12.5,1400,NULL,NULL,NULL,-23980.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39968.14,NULL,NULL,96.11,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,1,NULL,NULL,NULL,60,239808.84,39968.14,NULL,-11.11,96.5,0
8ABD68FE-16C6-4C6A-813C-087EB75CD364,98688,My Description,93753.6,NULL,NULL,1,NULL,NULL,NULL,FF520B95-588A-4BA0-9627-6392A4362444,1,03CEEC77-5D74-4A91-AECF-F1BE0D448703,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,98688,1,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,02:55.6,95d29adc-309b-450a-a789-8d5b481347ab,03:22.1,NULL,NULL,NULL,NULL,-4934.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98688,NULL,NULL,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,1,NULL,NULL,NULL,NULL,98688,98688,NULL,-5.26,100,NULL
95FA58C7-34B1-4DD3-9210-08FA0779E16C,NULL,Heavy Duty Industrial Dampers,NULL,NULL,NULL,3,NULL,NULL,NULL,CE912DC7-EA13-4778-AA59-252CFE212BB1,1,181FBD66-05C0-41AF-B01D-C15D1567B66F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,ecb58a2c-b7f9-4079-bc38-6a6a596d433c,29:18.5,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
063226B2-0EA6-4D93-9667-0AAF3911CD97,48086.58,Sabre-X,42316.19,NULL,NULL,1,NULL,NULL,NULL,5B3CA472-C568-414C-B529-42EC92C60C79,1,6A3D2E2E-3AB9-412A-ABFF-8367AA6C6130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,48086.58,1,NULL,NULL,072de345-7408-40d1-b8d6-b1e5bcde0fc0,11:05.3,4ccee81e-276e-4259-b52b-6925535dde80,17:43.5,1300,NULL,NULL,NULL,-5770.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48086.58,NULL,NULL,96.93,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,1,NULL,NULL,NULL,60,48086.58,48086.58,NULL,-13.64,97.3,0
CEE0C561-CB8C-4CAA-A4BB-0B3CB4027FE1,NULL,"Our product line embodies ideals of innovation, styling and value, each in a versatile configuration that provides purposeful solutions to the challenges facing today?s trucking industry. Every truck is designed to maximize profitability, driver comfort and safety.",NULL,NULL,NULL,6,NULL,NULL,NULL,FF520B95-588A-4BA0-9627-6392A4362444,1,F3E4D5E3-410C-484C-82EA-74FF482EA9AB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,cd8c3294-43a8-4519-bc89-b3c861dd27cb,38:52.7,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55DA2137-BB28-4537-A5B3-0B3E0F42C532,50986.23,Sabre-X,48436.92,NULL,NULL,1,NULL,NULL,NULL,5B3CA472-C568-414C-B529-42EC92C60C79,1,AE1759B9-CD5C-4EAE-8B4F-523AF1D52F5D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,50986.23,1,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,07:37.5,95d29adc-309b-450a-a789-8d5b481347ab,08:40.4,900,NULL,NULL,NULL,-2549.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50986.23,NULL,NULL,98.14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,1,NULL,NULL,NULL,60,50986.23,50986.23,NULL,-5.26,98.23,0
3EC0B24B-D9AA-4CD2-92E6-0BF6A1328A9F,NULL,"Our product line embodies ideals of innovation, styling and value, each in a versatile configuration that provides purposeful solutions to the challenges facing today?s trucking industry. Every truck is designed to maximize profitability, driver comfort and safety.",NULL,NULL,NULL,1,NULL,NULL,NULL,FF520B95-588A-4BA0-9627-6392A4362444,1,9F43A459-CEC2-4CE9-9F09-00CC1F66A2F0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,95d29adc-309b-450a-a789-8d5b481347ab,26:26.1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1388F951-E92E-490E-9749-0FDB6838C07D,124764,My Description,109792.32,NULL,NULL,2,NULL,NULL,NULL,FF520B95-588A-4BA0-9627-6392A4362444,1,422EAC83-EB86-41D5-B028-FC17CB601FC2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,124764,1,NULL,NULL,131cc3a1-22e7-476d-b02a-5b2456c5e35a,03:47.8,131cc3a1-22e7-476d-b02a-5b2456c5e35a,57:59.6,NULL,NULL,NULL,NULL,-14971.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,124764,NULL,NULL,100,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,1,1,NULL,NULL,NULL,NULL,124764,124764,NULL,-13.64,100,NULL
40E86000-24BC-48DA-BF3C-10C04688D172,NULL,Configured Wireless Network Solution,NULL,NULL,NULL,2,NULL,NULL,NULL,F401A1F8-F522-4118-8083-0FF9F6530701,1,AB6C3020-1949-49BD-8442-815919D351D1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,967b6d71-2f06-4b59-8648-71f93e5d1f03,11:43.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
